Site	URL	🎬 Videos	🌁 Images	📚 Playlist	🍪 VIP adaptation
抖音	https://www.douyin.com	✓			
哔哩哔哩	https://www.bilibili.com	✓		✓	✓
半次元	https://bcy.net		✓		
pixivision	https://www.pixivision.net		✓		
优酷	https://www.youku.com	✓			✓
YouTube	https://www.youtube.com	✓		✓	
爱奇艺	https://www.iqiyi.com	✓			
芒果TV	https://www.mgtv.com	✓			
糖豆广场舞	http://www.tangdou.com	✓		✓	
Tumblr	https://www.tumblr.com	✓	✓		
Vimeo	https://vimeo.com	✓			
Facebook	https://facebook.com	✓			
斗鱼视频	https://v.douyu.com	✓			
秒拍	https://www.miaopai.com	✓			
微博	https://weibo.com	✓			
Instagram	https://www.instagram.com	✓	✓		
Twitter	https://twitter.com	✓			
腾讯视频	https://v.qq.com	✓			
网易云音乐	https://music.163.com	✓			
音悦台	https://yinyuetai.com	✓			
极客时间	https://time.geekbang.org	✓			
Pornhub	https://pornhub.com	✓			
XVIDEOS	https://xvideos.com	✓			
聯合新聞網	https://udn.com	✓			
TikTok	https://www.tiktok.com	✓			
好看视频	https://haokan.baidu.com	✓			
AcFun	https://www.acfun.cn	✓		✓	
Eporner	https://eporner.com	✓			
